acceptable angles calculated from matlab 
-1 2 52 4 -122 
-1 2 52 184 -122 
-1 2 52 4 -122 
-1 2 52 184 -122 

-1 4 50 3 -123 
-1 4 50 183 -123 
-1 4 50 3 -123 
-1 4 50 183 -123 

-1 7 48 1 -124 
-1 7 48 181 -124 
-1 7 48 1 -124 
-1 7 48 181 -124 

-1 9 46 0 -125 
-1 9 46 180 -125 
-1 9 46 0 -125 
-1 9 46 180 -125 

-1 12 44 -2 -126 
-1 12 44 178 -126 
-1 12 44 -2 -126 
-1 12 44 178 -126 

-1 15 42 -4 -127 
-1 15 42 176 -127 
-1 15 42 -4 -127 
-1 15 42 176 -127 

-1 18 40 -5 -128 
-1 18 40 175 -128 
-1 18 40 -5 -128 
-1 18 40 175 -128 

-1 20 38 -7 -129 
-1 20 38 173 -129 
-1 20 38 -7 -129 
-1 20 38 173 -129 

-1 24 36 -9 -130 
-1 24 36 171 -130 
-1 24 36 -9 -130 
-1 24 36 171 -130 

-1 27 33 -11 -131 
-1 27 33 169 -131 
-1 27 33 -11 -131 
-1 27 33 169 -131 

-1 30 31 -13 -132 
-1 30 31 167 -132 
-1 30 31 -13 -132 
-1 30 31 167 -132 

-1 34 29 -16 -133 
-1 34 29 164 -133 
-1 34 29 -16 -133 
-1 34 29 164 -133 

-1 38 27 -18 -134 
-1 38 27 162 -134 
-1 38 27 -18 -134 
-1 38 27 162 -134 

-1 42 24 -21 -135 
-1 42 24 159 -135 
-1 42 24 -21 -135 
-1 42 24 159 -135 

-1 46 21 -24 -136 
-1 46 21 156 -136 
-1 46 21 -24 -136 
-1 46 21 156 -136 

-1 51 19 -27 -137 
-1 51 19 153 -137 
-1 51 19 -27 -137 
-1 51 19 153 -137 

-1 57 16 -30 -138 
-1 57 16 150 -138 
-1 57 16 -30 -138 
-1 57 16 150 -138 

-1 63 12 -35 -139 
-1 63 12 145 -139 
-1 63 12 -35 -139 
-1 63 12 145 -139 

-1 72 8 -40 -140 
-1 72 8 140 -140 
-1 72 8 -40 -140 
-1 72 8 140 -140 

